YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
2017,NV,"Electric Generators, Independent Power Producers",Petroleum,"3,740",,,,,,
2017,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"4,036,683",,,,,,
2017,NV,"Electric Generators, Independent Power Producers",Other Biomass,"57,681",,,,,,
2017,NV,"Electric Generators, Independent Power Producers",Wind,"361,364",,,,,,
2017,NV,"Electric Generators, Electric Utilities",Total,"26,835,633",,,,,,
2017,NV,"Electric Generators, Electric Utilities",Coal,"901,501",,,,,,
2017,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,738,883",,,,,,
2017,NV,"Electric Generators, Electric Utilities",Natural Gas,"24,118,452",,,,,,
2017,NV,"Electric Generators, Electric Utilities",Other,"31,566",,,,,,
2017,NV,"Electric Generators, Electric Utilities",Petroleum,"5,006",,,,,,
2017,NV,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"40,225",,,,,,
2018,NV,Total Electric Power Industry,Total,"39,640,241",,,,,,
2018,NV,Total Electric Power Industry,Coal,"2,485,046",,,,,,
2018,NV,Total Electric Power Industry,Geothermal,"3,461,982",,,,,,
2018,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,881,266",,,,,,
2018,NV,Total Electric Power Industry,Natural Gas,"26,688,612",,,,,,
2018,NV,Total Electric Power Industry,Other Gases,0,,,,,,
2018,NV,Total Electric Power Industry,Other,"28,782",,,,,,
2018,NV,Total Electric Power Industry,Petroleum,"10,245",,,,,,
2018,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"4,718,895",,,,,,
2018,NV,Total Electric Power Industry,Other Biomass,"53,066",,,,,,
2018,NV,Total Electric Power Industry,Wind,"312,348",,,,,,
2018,NV,"Combined Heat and Power, Industrial Power",Total,"332,233",,,,,,
2018,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"329,725",,,,,,
2018,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"2,508",,,,,,
2018,NV,"Combined Heat and Power, Commercial Power",Total,"159,414",,,,,,
2018,NV,"Combined Heat and Power, Commercial Power",Geothermal,"33,442",,,,,,
2018,NV,"Combined Heat and Power, Commercial Power",Natural Gas,"62,250",,,,,,
2018,NV,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"63,722",,,,,,
2018,NV,"Combined Heat and Power, Electric Power",Total,"2,146,536",,,,,,
2018,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,146,536",,,,,,
2018,NV,"Combined Heat and Power, Electric Power",Other Gases,0,,,,,,
2018,NV,"Combined Heat and Power, Electric Power",Petroleum,0,,,,,,
2018,NV,"Electric Generators, Independent Power Producers",Total,"9,520,528",,,,,,
2018,NV,"Electric Generators, Independent Power Producers",Coal,"1,042,500",,,,,,
2018,NV,"Electric Generators, Independent Power Producers",Geothermal,"3,428,540",,,,,,
2018,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"66,620",,,,,,
2018,NV,"Electric Generators, Independent Power Producers",Natural Gas,"2,572",,,,,,
2018,NV,"Electric Generators, Independent Power Producers",Petroleum,"2,867",,,,,,
2018,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"4,612,015",,,,,,
2018,NV,"Electric Generators, Independent Power Producers",Other Biomass,"53,066",,,,,,
2018,NV,"Electric Generators, Independent Power Producers",Wind,"312,348",,,,,,
2018,NV,"Electric Generators, Electric Utilities",Total,"27,481,530",,,,,,
2018,NV,"Electric Generators, Electric Utilities",Coal,"1,442,546",,,,,,
2018,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,814,646",,,,,,
2018,NV,"Electric Generators, Electric Utilities",Natural Gas,"24,147,528",,,,,,
2018,NV,"Electric Generators, Electric Utilities",Other,"28,782",,,,,,
2018,NV,"Electric Generators, Electric Utilities",Petroleum,"7,378",,,,,,
2018,NV,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"40,650",,,,,,
2019,NV,Total Electric Power Industry,Total,"39,889,660",,,,,,
2019,NV,Total Electric Power Industry,Coal,"2,735,457",,,,,,
2019,NV,Total Electric Power Industry,Geothermal,"3,909,124",,,,,,
2019,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,242,057",,,,,,
2019,NV,Total Electric Power Industry,Natural Gas,"25,774,966",,,,,,
2019,NV,Total Electric Power Industry,Other Gases,0,,,,,,
2019,NV,Total Electric Power Industry,Other,"21,519",,,,,,
2019,NV,Total Electric Power Industry,Petroleum,"12,345",,,,,,
2019,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"4,810,511",,,,,,
2019,NV,Total Electric Power Industry,Other Biomass,"54,282",,,,,,
2019,NV,Total Electric Power Industry,Wind,"329,399",,,,,,
2019,NV,"Combined Heat and Power, Industrial Power",Total,"312,236",,,,,,
2019,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"309,793",,,,,,
2019,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"2,443",,,,,,
2019,NV,"Combined Heat and Power, Commercial Power",Total,"569,354",,,,,,
2019,NV,"Combined Heat and Power, Commercial Power",Geothermal,"441,753",,,,,,
2019,NV,"Combined Heat and Power, Commercial Power",Natural Gas,"63,130",,,,,,
2019,NV,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"64,471",,,,,,
2019,NV,"Combined Heat and Power, Electric Power",Total,"2,173,161",,,,,,
2019,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,173,161",,,,,,
2019,NV,"Combined Heat and Power, Electric Power",Other Gases,0,,,,,,
2019,NV,"Combined Heat and Power, Electric Power",Petroleum,0,,,,,,
2019,NV,"Electric Generators, Independent Power Producers",Total,"9,541,908",,,,,,
2019,NV,"Electric Generators, Independent Power Producers",Coal,"1,046,847",,,,,,
2019,NV,"Electric Generators, Independent Power Producers",Geothermal,"3,467,371",,,,,,
2019,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"66,342",,,,,,
2019,NV,"Electric Generators, Independent Power Producers",Natural Gas,"2,307",,,,,,
2019,NV,"Electric Generators, Independent Power Producers",Petroleum,"2,234",,,,,,
2019,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"4,573,126",,,,,,
2019,NV,"Electric Generators, Independent Power Producers",Other Biomass,"54,282",,,,,,
2019,NV,"Electric Generators, Independent Power Producers",Wind,"329,399",,,,,,
2019,NV,"Electric Generators, Electric Utilities",Total,"27,293,001",,,,,,
2019,NV,"Electric Generators, Electric Utilities",Coal,"1,688,610",,,,,,
2019,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,175,715",,,,,,
2019,NV,"Electric Generators, Electric Utilities",Natural Gas,"23,226,575",,,,,,
2019,NV,"Electric Generators, Electric Utilities",Other,"21,519",,,,,,
2019,NV,"Electric Generators, Electric Utilities",Petroleum,"10,111",,,,,,
2019,NV,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"170,471",,,,,,
2020,NV,Total Electric Power Industry,Total,"40,424,745",,,,,,
2020,NV,Total Electric Power Industry,Coal,"1,953,201",,,,,,
2020,NV,Total Electric Power Industry,Geothermal,"3,800,921",,,,,,
2020,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,923,366",,,,,,
2020,NV,Total Electric Power Industry,Natural Gas,"26,801,321",,,,,,
2020,NV,Total Electric Power Industry,Other Gases,0,,,,,,
2020,NV,Total Electric Power Industry,Other,"25,805",,,,,,
2020,NV,Total Electric Power Industry,Petroleum,"6,265",,,,,,
2020,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"5,534,819",,,,,,
2020,NV,Total Electric Power Industry,Other Biomass,"54,244",,,,,,
2020,NV,Total Electric Power Industry,Wind,"324,803",,,,,,
2020,NV,"Combined Heat and Power, Industrial Power",Total,"328,527",,,,,,
2020,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"324,544",,,,,,
2020,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"3,983",,,,,,
2020,NV,"Combined Heat and Power, Commercial Power",Total,"572,954",,,,,,
2020,NV,"Combined Heat and Power, Commercial Power",Geothermal,"448,941",,,,,,
2020,NV,"Combined Heat and Power, Commercial Power",Natural Gas,"60,643",,,,,,
2020,NV,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"63,370",,,,,,
2020,NV,"Combined Heat and Power, Electric Power",Total,"2,187,158",,,,,,
2020,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,187,158",,,,,,
2020,NV,"Combined Heat and Power, Electric Power",Other Gases,0,,,,,,
2020,NV,"Combined Heat and Power, Electric Power",Petroleum,0,,,,,,
2020,NV,"Electric Generators, Independent Power Producers",Total,"10,090,291",,,,,,
2020,NV,"Electric Generators, Independent Power Producers",Coal,"1,025,376",,,,,,
2020,NV,"Electric Generators, Independent Power Producers",Geothermal,"3,351,980",,,,,,
2020,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"56,296",,,,,,
2020,NV,"Electric Generators, Independent Power Producers",Natural Gas,"2,289",,,,,,
2020,NV,"Electric Generators, Independent Power Producers",Petroleum,"1,895",,,,,,
2020,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"5,273,408",,,,,,
2020,NV,"Electric Generators, Independent Power Producers",Other Biomass,"54,244",,,,,,
2020,NV,"Electric Generators, Independent Power Producers",Wind,"324,803",,,,,,
2020,NV,"Electric Generators, Electric Utilities",Total,"27,245,815",,,,,,
2020,NV,"Electric Generators, Electric Utilities",Coal,"927,825",,,,,,
2020,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,867,070",,,,,,
2020,NV,"Electric Generators, Electric Utilities",Natural Gas,"24,226,687",,,,,,
2020,NV,"Electric Generators, Electric Utilities",Other,"25,805",,,,,,
2020,NV,"Electric Generators, Electric Utilities",Petroleum,"4,370",,,,,,
2020,NV,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"194,058",,,,,,
2021,NV,Total Electric Power Industry,Total,"41,754,584",,,,,,
2021,NV,Total Electric Power Industry,Coal,"2,752,473",,,,,,
2021,NV,Total Electric Power Industry,Geothermal,"3,917,454",,,,,,
2021,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,944,288",,,,,,
2021,NV,Total Electric Power Industry,Natural Gas,"26,129,918",,,,,,
2021,NV,Total Electric Power Industry,Other Gases,0,,,,,,
2021,NV,Total Electric Power Industry,Other,"27,358",,,,,,
2021,NV,Total Electric Power Industry,Petroleum,"8,014",,,,,,
2021,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"6,585,171",,,,,,
2021,NV,Total Electric Power Industry,Other Biomass,"49,964",,,,,,
2021,NV,Total Electric Power Industry,Wind,"339,944",,,,,,
2021,NV,"Combined Heat and Power, Industrial Power",Total,"338,697",,,,,,
2021,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"335,079",,,,,,
2021,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"3,618",,,,,,
2021,NV,"Combined Heat and Power, Commercial Power",Total,"614,926",,,,,,
2021,NV,"Combined Heat and Power, Commercial Power",Geothermal,"501,703",,,,,,
2021,NV,"Combined Heat and Power, Commercial Power",Natural Gas,"61,998",,,,,,
2021,NV,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"51,225",,,,,,
2021,NV,"Combined Heat and Power, Electric Power",Total,"2,183,913",,,,,,
2021,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,183,913",,,,,,
2021,NV,"Combined Heat and Power, Electric Power",Other Gases,0,,,,,,
2021,NV,"Combined Heat and Power, Electric Power",Petroleum,0,,,,,,
2021,NV,"Electric Generators, Independent Power Producers",Total,"11,383,459",,,,,,
2021,NV,"Electric Generators, Independent Power Producers",Coal,"1,190,008",,,,,,
2021,NV,"Electric Generators, Independent Power Producers",Geothermal,"3,415,751",,,,,,
2021,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"39,143",,,,,,
2021,NV,"Electric Generators, Independent Power Producers",Natural Gas,"2,024",,,,,,
2021,NV,"Electric Generators, Independent Power Producers",Other,-761,,,,,,
2021,NV,"Electric Generators, Independent Power Producers",Petroleum,"2,333",,,,,,
2021,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"6,345,053",,,,,,
2021,NV,"Electric Generators, Independent Power Producers",Other Biomass,"49,964",,,,,,
2021,NV,"Electric Generators, Independent Power Producers",Wind,"339,944",,,,,,
2021,NV,"Electric Generators, Electric Utilities",Total,"27,233,589",,,,,,
2021,NV,"Electric Generators, Electric Utilities",Coal,"1,562,466",,,,,,
2021,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,905,145",,,,,,
2021,NV,"Electric Generators, Electric Utilities",Natural Gas,"23,546,904",,,,,,
2021,NV,"Electric Generators, Electric Utilities",Other,"28,119",,,,,,
2021,NV,"Electric Generators, Electric Utilities",Petroleum,"5,680",,,,,,
2021,NV,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"185,275",,,,,,
